"Designator","Mid X","Mid Y","Layer","Rotation"
"J23","224.1296mm","-105.6132mm","bottom","270.0"
"SW4","164.35mm","-120.2mm","bottom","0.0"
"SW3","177.05mm","-120.2mm","bottom","0.0"
"SW2","189.75mm","-120.2mm","bottom","0.0"
"SW1","202.45mm","-120.2mm","bottom","0.0"
"RV4","213.88mm","-51.62mm","bottom","270.0"
"RV1","213.86mm","-92.26mm","bottom","270.0"
"RV7","193.56mm","-92.26mm","bottom","180.0"
"RV2","173.24mm","-92.26mm","bottom","180.0"
"RV8","152.92mm","-92.26mm","bottom","90.0"
"RV9","193.56mm","-51.62mm","bottom","180.0"
"RV5","173.24mm","-51.62mm","bottom","180.0"
"RV11","152.92mm","-51.62mm","bottom","90.0"
"RV3","213.88mm","-71.94mm","bottom","270.0"
"RV10","193.56mm","-71.94mm","bottom","180.0"
"RV6","173.24mm","-71.94mm","bottom","180.0"
"RV12","152.92mm","-71.94mm","bottom","90.0"
"J1","227.998mm","-61.741mm","bottom","270.0"
"J4","219.02mm","-121.5mm","bottom","0.0"
"J3","229.18mm","-121.5mm","bottom","0.0"
"J22","163.14mm","-146.9mm","bottom","0.0"
"J21","163.14mm","-134.2mm","bottom","0.0"
"J20","173.3mm","-146.9mm","bottom","0.0"
"J12","198.7mm","-146.9mm","bottom","0.0"
"J10","198.7mm","-134.2mm","bottom","0.0"
"J11","219.02mm","-146.9mm","bottom","0.0"
"J8","208.86mm","-146.9mm","bottom","0.0"
"J6","208.86mm","-134.2mm","bottom","0.0"
"J7","229.18mm","-146.9mm","bottom","0.0"
"J9","219.02mm","-134.2mm","bottom","0.0"
"LED4","166.89mm","-113.85mm","bottom","180.0"
"LED3","179.59mm","-113.85mm","bottom","180.0"
"LED2","192.29mm","-113.85mm","bottom","180.0"
"LED1","204.99mm","-113.85mm","bottom","180.0"
"J18","173.3mm","-134.2mm","bottom","0.0"
"J19","186mm","-146.9mm","bottom","0.0"
"J17","186mm","-134.2mm","bottom","0.0"
"J5","229.18mm","-134.2mm","bottom","0.0"
"J16","137.74mm","-146.9mm","bottom","0.0"
"J14","150.44mm","-146.9mm","bottom","0.0"
"J15","137.74mm","-134.2mm","bottom","0.0"
"J13","150.44mm","-134.2mm","bottom","0.0"
